time,open,high,low,close,volume,ticker
2023-05-10,28.39,28.39,28.39,28.39,0,YTC
2023-05-11,28.39,28.39,28.39,28.39,0,YTC
2023-05-12,28.39,28.39,28.39,28.39,0,YTC
2023-05-15,28.39,28.39,28.39,28.39,0,YTC
2023-05-16,28.39,28.39,28.39,28.39,0,YTC
2023-05-17,28.39,28.39,28.39,28.39,0,YTC
2023-05-18,28.39,28.39,28.39,28.39,0,YTC
2023-05-19,28.39,28.39,28.39,28.39,0,YTC
2023-05-22,28.39,28.39,28.39,28.39,0,YTC
2023-05-23,28.39,28.39,28.39,28.39,0,YTC
2023-05-24,28.39,28.39,28.39,28.39,0,YTC
2023-05-25,28.39,28.39,28.39,28.39,0,YTC
2023-05-26,28.39,28.39,28.39,28.39,0,YTC
2023-05-29,28.39,28.39,28.39,28.39,0,YTC
2023-05-30,28.39,28.39,28.39,28.39,0,YTC
2023-05-31,28.39,28.39,28.39,28.39,0,YTC
2023-06-01,28.39,28.39,28.39,28.39,0,YTC
2023-06-02,28.39,28.39,28.39,28.39,0,YTC
2023-06-05,28.39,28.39,28.39,28.39,0,YTC
2023-06-06,28.39,28.39,28.39,28.39,0,YTC
2023-06-07,28.39,28.39,28.39,28.39,0,YTC
2023-06-08,28.39,28.39,28.39,28.39,0,YTC
2023-06-09,28.39,28.39,28.39,28.39,0,YTC
2023-06-12,28.39,28.39,28.39,28.39,0,YTC
2023-06-13,28.39,28.39,28.39,28.39,0,YTC
2023-06-14,28.39,28.39,28.39,28.39,0,YTC
2023-06-15,28.39,28.39,28.39,28.39,0,YTC
2023-06-16,28.39,28.39,28.39,28.39,0,YTC
2023-06-19,28.39,28.39,28.39,28.39,0,YTC
2023-06-20,28.39,28.39,28.39,28.39,0,YTC
2023-06-21,28.39,28.39,28.39,28.39,0,YTC
2023-06-22,28.39,28.39,28.39,28.39,0,YTC
2023-06-23,28.39,28.39,28.39,28.39,1,YTC
2023-06-26,28.39,28.39,28.39,28.39,0,YTC
2023-06-27,28.39,28.39,28.39,28.39,100,YTC
2023-06-28,28.39,28.39,28.39,28.39,0,YTC
2023-06-29,28.39,28.39,28.39,28.39,0,YTC
2023-06-30,28.39,28.39,28.39,28.39,3,YTC
2023-07-03,28.39,28.39,28.39,28.39,0,YTC
2023-07-04,28.39,28.39,28.39,28.39,0,YTC
2023-07-05,28.39,28.39,28.39,28.39,0,YTC
2023-07-06,28.39,28.39,28.39,28.39,0,YTC
2023-07-07,28.39,28.39,28.39,28.39,0,YTC
2023-07-10,28.39,28.39,28.39,28.39,0,YTC
2023-07-11,28.39,28.39,28.39,28.39,0,YTC
2023-07-12,28.39,28.39,28.39,28.39,0,YTC
2023-07-13,28.39,28.39,28.39,28.39,0,YTC
2023-07-14,28.39,28.39,28.39,28.39,0,YTC
2023-07-17,28.39,28.39,28.39,28.39,0,YTC
2023-07-18,28.39,28.39,28.39,28.39,0,YTC
2023-07-19,28.39,28.39,28.39,28.39,0,YTC
2023-07-20,28.39,28.39,28.39,28.39,0,YTC
2023-07-21,28.39,28.39,28.39,28.39,0,YTC
2023-07-24,28.39,28.39,28.39,28.39,0,YTC
2023-07-25,28.39,28.39,28.39,28.39,0,YTC
2023-07-26,28.39,28.39,28.39,28.39,0,YTC
2023-07-27,28.39,28.39,28.39,28.39,1,YTC
2023-07-28,28.39,28.39,28.39,28.39,0,YTC
2023-07-31,28.39,28.39,28.39,28.39,0,YTC
2023-08-01,28.39,28.39,28.39,28.39,0,YTC
2023-08-02,28.39,28.39,28.39,28.39,0,YTC
2023-08-03,28.39,28.39,28.39,28.39,0,YTC
2023-08-04,28.39,28.39,28.39,28.39,0,YTC
2023-08-07,28.39,28.39,28.39,28.39,0,YTC
2023-08-08,28.39,28.39,28.39,28.39,0,YTC
2023-08-09,28.39,28.39,28.39,28.39,0,YTC
2023-08-10,28.39,28.39,28.39,28.39,0,YTC
2023-08-11,28.39,28.39,28.39,28.39,0,YTC
2023-08-14,28.39,28.39,28.39,28.39,0,YTC
2023-08-15,28.39,28.39,28.39,28.39,0,YTC
2023-08-16,28.39,28.39,28.39,28.39,0,YTC
2023-08-17,28.39,28.39,28.39,28.39,0,YTC
2023-08-18,28.39,28.39,28.39,28.39,0,YTC
2023-08-21,17.08,28.39,17.08,28.39,200,YTC
2023-08-22,22.76,22.76,22.76,22.76,3,YTC
2023-08-23,19.44,19.44,19.44,19.44,100,YTC
2023-08-24,22.33,22.33,22.33,22.33,163,YTC
2023-08-25,19.06,25.65,19.06,25.65,204,YTC
2023-08-28,22.38,22.38,22.38,22.38,200,YTC
2023-08-29,25.7,25.7,25.7,25.7,100,YTC
2023-08-30,25.7,25.7,25.7,25.7,0,YTC
2023-08-31,29.55,29.55,29.55,29.55,100,YTC
2023-09-05,33.68,33.68,33.68,33.68,100,YTC
2023-09-06,33.68,33.68,33.68,33.68,0,YTC
2023-09-07,37.05,37.05,37.05,37.05,100,YTC
2023-09-08,37.05,37.05,37.05,37.05,0,YTC
2023-09-11,37.05,37.05,37.05,37.05,0,YTC
2023-09-12,31.52,31.52,31.52,31.52,300,YTC
2023-09-13,27.43,27.43,27.43,27.43,100,YTC
2023-09-14,27.43,27.43,27.43,27.43,0,YTC
2023-09-15,27.43,27.43,27.43,27.43,0,YTC
2023-09-18,27.43,27.43,27.43,27.43,0,YTC
2023-09-19,27.43,27.43,27.43,27.43,0,YTC
2023-09-20,27.43,27.43,27.43,27.43,0,YTC
2023-09-21,27.43,27.43,27.43,27.43,0,YTC
2023-09-22,27.43,27.43,27.43,27.43,0,YTC
2023-09-25,30.8,30.8,30.8,30.8,100,YTC
2023-09-26,35.13,35.13,35.13,35.13,100,YTC
2023-09-27,35.13,35.13,35.13,35.13,0,YTC
2023-09-28,35.13,35.13,35.13,35.13,0,YTC
2023-09-29,38.5,38.5,38.5,38.5,100,YTC
2023-10-02,38.5,38.5,38.5,38.5,0,YTC
2023-10-03,38.5,38.5,38.5,38.5,0,YTC
2023-10-04,38.5,38.5,38.5,38.5,0,YTC
2023-10-05,38.5,38.5,38.5,38.5,0,YTC
2023-10-06,38.5,38.5,38.5,38.5,0,YTC
2023-10-09,38.5,38.5,38.5,38.5,0,YTC
2023-10-10,38.5,38.5,38.5,38.5,0,YTC
2023-10-11,38.5,38.5,38.5,38.5,0,YTC
2023-10-12,38.5,38.5,38.5,38.5,0,YTC
2023-10-13,38.5,38.5,38.5,38.5,0,YTC
2023-10-16,38.5,38.5,38.5,38.5,0,YTC
2023-10-17,38.5,38.5,38.5,38.5,0,YTC
2023-10-18,38.5,38.5,38.5,38.5,0,YTC
2023-10-19,38.5,38.5,38.5,38.5,0,YTC
2023-10-20,38.5,38.5,38.5,38.5,0,YTC
2023-10-23,38.5,38.5,38.5,38.5,0,YTC
2023-10-24,38.5,38.5,38.5,38.5,0,YTC
2023-10-25,38.5,38.5,38.5,38.5,0,YTC
2023-10-26,32.72,32.72,32.72,32.72,100,YTC
2023-10-27,32.72,32.72,32.72,32.72,0,YTC
2023-10-30,32.72,32.72,32.72,32.72,0,YTC
2023-10-31,32.72,32.72,32.72,32.72,0,YTC
2023-11-01,32.72,32.72,32.72,32.72,0,YTC
2023-11-02,32.72,32.72,32.72,32.72,0,YTC
2023-11-03,32.72,32.72,32.72,32.72,0,YTC
2023-11-06,27.81,27.81,27.81,27.81,100,YTC
2023-11-07,27.81,27.81,27.81,27.81,0,YTC
2023-11-08,27.81,27.81,27.81,27.81,0,YTC
2023-11-09,27.81,27.81,27.81,27.81,0,YTC
2023-11-10,27.81,27.81,27.81,27.81,0,YTC
2023-11-13,27.81,27.81,27.81,27.81,0,YTC
2023-11-14,27.81,27.81,27.81,27.81,0,YTC
2023-11-15,27.81,27.81,27.81,27.81,0,YTC
2023-11-16,27.81,27.81,27.81,27.81,0,YTC
2023-11-17,27.81,27.81,27.81,27.81,0,YTC
2023-11-20,27.81,27.81,27.81,27.81,0,YTC
2023-11-21,27.81,27.81,27.81,27.81,0,YTC
2023-11-22,27.81,27.81,27.81,27.81,0,YTC
2023-11-23,27.81,27.81,27.81,27.81,0,YTC
2023-11-24,23.68,23.68,23.68,23.68,100,YTC
2023-11-27,23.68,23.68,23.68,23.68,0,YTC
2023-11-28,27.19,27.19,27.19,27.19,200,YTC
2023-11-29,31.23,31.23,31.23,31.23,100,YTC
2023-11-30,28.87,28.87,28.87,28.87,201,YTC
2023-12-01,33.2,33.2,33.2,33.2,100,YTC
2023-12-04,33.2,33.2,33.2,33.2,0,YTC
2023-12-05,28.25,37.53,28.25,36.09,1200,YTC
2023-12-06,35.56,35.56,35.56,35.56,0,YTC
2023-12-07,40.85,40.85,30.27,30.27,1208,YTC
2023-12-08,33.88,45.81,33.88,33.88,3700,YTC
2023-12-11,50.43,50.43,37.34,37.34,1600,YTC
2023-12-12,50.05,50.05,49.95,49.95,2000,YTC
2023-12-13,48.12,50.05,42.59,42.59,2100,YTC
2023-12-14,49.61,49.61,49.61,49.61,5003,YTC
2023-12-15,52.93,52.93,52.93,52.93,1000,YTC
2023-12-18,60.15,60.15,44.99,44.99,1203,YTC
2023-12-19,61.59,61.59,61.59,61.59,1005,YTC
2023-12-20,64.96,64.96,64.96,64.96,1003,YTC
2023-12-21,55.24,66.41,55.24,65.88,11439,YTC
2023-12-22,72.18,72.18,54.42,54.42,1243,YTC
2023-12-25,76.99,76.99,76.99,76.99,1001,YTC
2023-12-26,76.99,76.99,76.99,76.99,0,YTC
2023-12-27,76.99,76.99,76.99,76.99,0,YTC
2023-12-28,76.99,76.99,76.99,76.99,0,YTC
2023-12-29,65.44,65.44,65.44,65.44,1809,YTC
